filename,dim1,dim2,dim3
A_1211.wav,1.3344566,-4.5419064,-4.9383397
A_234.wav,-5.7229934,-4.847808,-2.1270168
A_273.wav,-12.299526,-6.2576694,2.9388258
A_1608.wav,1.0142505,-10.768484,-3.3735461
A_76.wav,4.371469,-4.8452816,-6.718365
A_484.wav,2.5352676,-7.406262,-5.4136343
A_178.wav,3.226668,-5.914591,-6.7802567
A_577.wav,-6.3921227,-9.171348,3.785639
A_297.wav,-6.8358874,-12.132718,1.049014
A_958.wav,-9.552308,-2.48121,-0.3081536
A_921.wav,-4.9523497,4.8499255,10.79232
A_1471.wav,-1.3340185,9.528356,6.0209346
A_121.wav,-2.903864,-8.790184,0.5062013
A_1298.wav,-1.7475628,13.698388,2.0826678
A_1178.wav,-10.082642,-6.0069733,0.9814229
A_271.wav,0.52703506,-9.211289,0.20304243
A_310.wav,-6.7522264,-1.8175851,-0.0015560277
A_434.wav,-7.1817365,-1.1879622,0.08946622
A_1143.wav,-15.214393,-1.762036,2.4247859
A_842.wav,9.600172,10.209352,-3.537577
A_357.wav,-13.765858,-2.653989,2.57056
A_1710.wav,-12.872325,-0.4218512,1.4827396
A_349.wav,-11.269756,-8.583367,1.5760853
A_740.wav,0.8388782,-5.277677,-1.8176959
A_467.wav,5.3359704,-10.468148,-5.055229
A_479.wav,-6.797899,-2.926823,1.0898758
A_294.wav,-6.431439,-9.385657,-0.8498363
A_1460.wav,-1.1624036,-5.4286504,0.9902138
A_1173.wav,-16.041754,-5.1805696,3.374583
A_1484.wav,4.0273657,8.910731,-1.8616161
A_1246.wav,0.43974012,-13.830513,-1.4774948
A_42.wav,-11.49829,2.0308554,0.020020075
A_761.wav,6.064021,7.153533,0.19471098
A_570.wav,-3.8751569,-3.687206,-0.9671402
A_927.wav,-2.3770537,-7.5409703,-2.5590858
A_1390.wav,2.0741165,10.354465,-1.5828849
A_306.wav,3.515569,-6.9778333,-3.3544974
A_557.wav,8.43358,4.3308263,-1.7985443
A_262.wav,-0.9075902,-12.601898,0.16710317
A_800.wav,-0.7624454,10.853503,2.9974468
A_43.wav,2.9483263,-0.23475654,-5.900791
A_1292.wav,0.3068979,9.19665,4.485119
A_314.wav,6.051726,-10.893861,-4.8275967
A_1078.wav,-8.608747,-2.4653108,3.5061448
A_163.wav,-5.03614,-10.42141,3.4855394
A_1247.wav,-5.423568,-6.59772,0.62420535
A_44.wav,-4.7963724,-1.8333472,2.1446352
A_1538.wav,-1.3088014,11.267136,3.3086681
A_847.wav,-5.2153935,-6.691571,2.1085293
A_1563.wav,-5.944197,10.239008,7.1688232
A_81.wav,4.9274144,-2.2643492,-6.466759
A_834.wav,10.636884,8.546314,-1.2432948
A_1281.wav,2.4621146,-5.2816443,-3.8379745
A_585.wav,10.183014,-1.6297518,-4.13367
A_1757.wav,-11.7001505,-9.111342,2.7765176
A_172.wav,-1.0450386,-5.4030037,0.29071444
A_1411.wav,2.8636327,9.779358,-1.5359881
A_972.wav,-0.42160162,6.3872514,7.604125
A_248.wav,-3.6348825,-5.3656063,-1.2999024
A_898.wav,11.328151,1.8582081,-1.2728741
A_781.wav,4.2046943,4.6118264,4.0019946
A_659.wav,-5.247066,-7.0577197,3.2392664
A_1065.wav,10.736396,8.740363,-1.6276054
A_1589.wav,4.214348,4.5649548,3.987905
